"Sygnatura czasowa","Płeć:","Wiek:","Wykształcenie:","Proszę zaznaczyć swoje powiązanie z branżą hotelarsko - gastronomiczną","Proszę zaznaczyć rodzaj prowadzonej działalności HoReCa:","Województwo, w którym znajduje się hotel/restauracja:","Większość przychodów przed pandemią pochodziło z obsługi:","Czy w ciągu ostatnich 12 miesięcy zauważono spadek przychodów? ","Która fala pandemii była bardziej dotkliwa dla przedsiębiorstwa?","Czy koszty prowadzenia przedsiębiorstwa w ciągu ostatnich 12 miesięcy wzrosły?","Ilość osób zatrudnionych na umowę o pracę oraz umowy cywilnoprawne (umowa zlecenie, umowa o dzieło, samozatrudnienie itp.)","Czy konieczna była redukcja zatrudnienia?","Czy w obliczu obecnie organizowanych spotkań online pobyty grupowe/konferencje/uroczystości rodzinne wrócą do stanu sprzed pandemii?","Czy pomoc Państwa (Rządu) była według Pani/Pana wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19?","Z jakiej pomocy Rządu udało się skorzystać?","Które obostrzenia związane z pandemią znacząco wpłynęły na obniżenie obrotów w przedsiębiorstwie według Pani/Pana?","Które wprowadzone znoszenie obostrzeń pozwoliło zredukować straty w przedsiębiorstwie?","Czy próbowała/próbował Pani/Pan stosować w swoim przedsiębiorstwie wymienione poniżej sposoby przeciwdziałania negatywnym skutkom pandemii COVID-19?","Czy wyżej wymienione próby przyniosły wymierny skutek?","W jakim dziale pracowałaś/pracowałeś przed rozpoczęciem pandemii?","Jesteś zatrudniona/zatrudniony w miejscowości:","Forma zatrudnienia:","Czy straciłaś/straciłeś pracę?","Czy konieczne było przekwalifikowanie się?","Czy koniecznym było wybieranie urlopu/opieki?","Czy w firmie w której pracujesz zmieniała się struktura zatrudnienia (ilość osób)?","Jak oceniasz podejście osób zarządzających do spraw pracowników w obliczu ciężkiej sytuacji?","Czy w związku z pandemią dało się odczuć strach przed zakażeniem się?","Czy wystąpiły trudności organizacyjne pracy w związku z wprowadzeniem obostrzeń?","Czy wydłużył się czas wykonywania obowiązków zawodowych w związku z obostrzeniami?","Czy obsługa gości w maseczkach powodowała duży dyskomfort?","Czy goście stosowali się do obowiązujących obostrzeń (noszenie maseczek, dystans społeczny)?","Czy w Twoim miejscu pracy odbyła się kontrola sanepidu/policji (przestrzeganie obostrzeń)?","Czy zaobserwowałaś/zaobserwowałeś zmniejszone obroty w miejscu, w którym pracujesz?","Z jakich usług hotelarsko - gastronomicznych korzystałeś najczęściej podczas pandemii?","Czy obawiałeś się korzystać z hoteli, restauracji, cateringu?","Czy w ciągu 12 miesięcy częściej korzystałeś z aplikacji, portali internetowych w celu zamówienia usług hotelarsko - gastronomicznych (pyszne.pl, booking.com)?","W celach wypoczynkowych najchętniej wybrałabym/wybrałbym - w związku z COVID-19:","Czy wybierając hotel/restaurację kierowałeś się kryterium, które gwarantowało przestrzeganie wytycznych sanitarnych (np. Obiekt bezpieczny higienicznie)?","Czy zauważyłeś zmiany związane z jakością usług podczas pandemii?","Urlop, wolne weekendy w większości udało się spędzić:","Czy planując pobyt hotelowy musiałeś zrezygnować/zmienić datę pobytu?","Czy w przypadku rezygnacji udało się odzyskać pieniądze z zadatku/zaliczki?","Czy opcja bonu turystycznego zachęciła Cię do spędzenia urlopu w Polsce? ","Czy wprowadzenie dodatkowych obostrzeń (np. zamknięcie basenu, restauracji, siłowni) zniechęciłoby Cię do wyjazdu rekreacyjnego?","Czy strajki przedsiębiorców, akcje zachęcające do ratowania polskiej turystyki oraz informacje płynące z rynku o coraz słabszej sytuacji w finansowej wielu przedsiębiorstw zachęciły Cię do wspierania branży hotelarsko - gastronomicznej","Jak wspierałeś branże hotelarsko – gastronomiczną?","Czy w Twojej ocenie pomoc Rządu była wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19? "
"2021/04/12 4:05:18 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:09:38 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Tak, nieznacznie","Tak","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:13:08 PM EET","Kobieta","41-55 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:13:19 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Nie","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Nie","Nie wspierałem","Nie"
"2021/04/12 4:14:34 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:18:25 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Tak","Hotel","Tak","Zmniejszyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:19:07 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Tak","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:19:28 PM EET","Mężczyzna","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Restauracja stacjonarnie","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie","Nie","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:26:10 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:26:52 PM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Nie","Tak, znacznie","Nie","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:27:29 PM EET","Mężczyzna","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Tak, pracuję w innej branży.","Tak","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, znacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:28:08 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos","Nie","Nie","Hotel","Tak","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:29:58 PM EET","Kobieta","41-55 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Dział rezerwacji grupowych","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Tak","Nie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:30:22 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Nie","Nie","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Nie wspierałem","Nie"
"2021/04/12 4:31:08 PM EET","Mężczyzna","41-55 lat","Wyższe","Osoba zarządzająca obiektem","Hotel;Lokal gastronomiczny","śląskie","Gości indywidualnych","Tak, powyżej 75%","Druga","Tak","11-50 osób","Nie.","Rynek konferencji/spotkań biznesowych znaczenie się zredukuje.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie wynagrodzeń pracowników.;Dofinansowanie kosztów stałych dla MŚP.","Zamknięcie basenów i siłowni.;Zamknięcie hoteli.;Zamknięcie stoków narciarskich.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).","Podróże służbowe.;Sprzedaż na wynos, w postaci room service.;Wprowadzenie bonu turystycznego.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Przekształcenie profilu działalności (np. rehabilitacja medyczna, catering, izolatorium).;Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).;Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/12 4:38:03 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Restauracja stacjonarnie","Nie","Tak","Hotel","Tak","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:40:19 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Tak, pracuję w innej branży.","Nie","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:45:25 PM EET","Kobieta","25-40 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Dział rezerwacji grupowych","Mieście","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Nie","Nie","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:45:55 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Apartamenty","Tak","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:47:36 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Wpłacanie datków na zbiórki.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:49:40 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:59:17 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Hotel","Tak","Zwiększyła się","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:59:32 PM EET","Kobieta","25-40 lat","Podstawowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Domki letniskowe","Tak","Zwiększyła się","W domu","Tak","Tak","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 5:02:05 PM EET","Mężczyzna","41-55 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Hotel","Nie","Zwiększyła się","W domu","Nie","Nie dotyczy","Tak","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 5:10:51 PM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Tak","Domki letniskowe","Tak","Zwiększyła się","W domu","Tak","Tak","Tak","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 5:20:28 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Nie","Tak, przeszedłem do innego działu.","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Nie","Tak","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 5:24:26 PM EET","Mężczyzna","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Nie","Hotel","Tak","Zwiększyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Nie","Nie wspierałem","Nie"
"2021/04/12 5:27:20 PM EET","Kobieta","16-24 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Nie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 5:30:00 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Restauracja stacjonarnie","Nie","Tak","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 5:35:51 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Nie","Nie","Tak","Tak, przyjęto nowe osoby.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 5:37:22 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Tak, obawa o zdrowie.","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Tak","Nie","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Tak"
"2021/04/12 5:44:41 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Tak, obawa o otrzymanie mandatu.","Tak","Domki letniskowe","Tak","Zwiększyła się","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 5:47:04 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Nie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 5:50:57 PM EET","Kobieta","41-55 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Służba pięter","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Tak","Nie","Tak","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 5:52:21 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Hotel","Tak","Pozostała na tym samym poziomie.","W domu","Nie","Nie","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 5:53:28 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 5:55:17 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Domki letniskowe","Tak","Zwiększyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 5:56:03 PM EET","Kobieta","powyżej 55 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Pensjonat - ośrodek prywatny","Tak","Zwiększyła się","Poza domem - w Polsce","Tak","Tak","Nie dotyczy","Tak","Tak","Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 5:57:34 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Tak, pracuję w innej branży.","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 5:59:39 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 6:08:06 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Nie","Domki letniskowe","Tak","Zwiększyła się","Poza domem - w Polsce","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Tak","Zamawianie posiłków Świątecznych.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 6:11:19 PM EET","Kobieta","25-40 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Nie","Nie","Nie","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 6:15:13 PM EET","Kobieta","41-55 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Tak","Tak, przeszedłem do innego działu.","Tak","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Nie","Nie","Nie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 6:21:40 PM EET","Mężczyzna","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Domki letniskowe","Tak","Zwiększyła się","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Nie","Nie wspierałem","Nie"
"2021/04/12 6:34:38 PM EET","Mężczyzna","25-40 lat","Zawodowe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Tak","Tak, znacznie","Tak","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 6:42:17 PM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos","Nie","Tak","Domki letniskowe","Tak","Zwiększyła się","W domu","Nie","Nie dotyczy","Tak","Nie","Tak","Regularne zamawianie jedzenia na wynos.;Zamawianie posiłków Świątecznych.","Nie"
"2021/04/12 6:43:32 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Domki letniskowe","Nie","Zwiększyła się","W domu","Tak","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
