"Sygnatura czasowa","Płeć:","Wiek:","Wykształcenie:","Proszę zaznaczyć swoje powiązanie z branżą hotelarsko - gastronomiczną","Proszę zaznaczyć rodzaj prowadzonej działalności HoReCa:","Województwo, w którym znajduje się hotel/restauracja:","Większość przychodów przed pandemią pochodziło z obsługi:","Czy w ciągu ostatnich 12 miesięcy zauważono spadek przychodów? ","Która fala pandemii była bardziej dotkliwa dla przedsiębiorstwa?","Czy koszty prowadzenia przedsiębiorstwa w ciągu ostatnich 12 miesięcy wzrosły?","Ilość osób zatrudnionych na umowę o pracę oraz umowy cywilnoprawne (umowa zlecenie, umowa o dzieło, samozatrudnienie itp.)","Czy konieczna była redukcja zatrudnienia?","Czy w obliczu obecnie organizowanych spotkań online pobyty grupowe/konferencje/uroczystości rodzinne wrócą do stanu sprzed pandemii?","Czy pomoc Państwa (Rządu) była według Pani/Pana wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19?","Z jakiej pomocy Rządu udało się skorzystać?","Które obostrzenia związane z pandemią znacząco wpłynęły na obniżenie obrotów w przedsiębiorstwie według Pani/Pana?","Które wprowadzone znoszenie obostrzeń pozwoliło zredukować straty w przedsiębiorstwie?","Czy próbowała/próbował Pani/Pan stosować w swoim przedsiębiorstwie wymienione poniżej sposoby przeciwdziałania negatywnym skutkom pandemii COVID-19?","Czy wyżej wymienione próby przyniosły wymierny skutek?","W jakim dziale pracowałaś/pracowałeś przed rozpoczęciem pandemii?","Jesteś zatrudniona/zatrudniony w miejscowości:","Forma zatrudnienia:","Czy straciłaś/straciłeś pracę?","Czy konieczne było przekwalifikowanie się?","Czy koniecznym było wybieranie urlopu/opieki?","Czy w firmie w której pracujesz zmieniała się struktura zatrudnienia (ilość osób)?","Jak oceniasz podejście osób zarządzających do spraw pracowników w obliczu ciężkiej sytuacji?","Czy w związku z pandemią dało się odczuć strach przed zakażeniem się?","Czy wystąpiły trudności organizacyjne pracy w związku z wprowadzeniem obostrzeń?","Czy wydłużył się czas wykonywania obowiązków zawodowych w związku z obostrzeniami?","Czy obsługa gości w maseczkach powodowała duży dyskomfort?","Czy goście stosowali się do obowiązujących obostrzeń (noszenie maseczek, dystans społeczny)?","Czy w Twoim miejscu pracy odbyła się kontrola sanepidu/policji (przestrzeganie obostrzeń)?","Czy zaobserwowałaś/zaobserwowałeś zmniejszone obroty w miejscu, w którym pracujesz?","Z jakich usług hotelarsko - gastronomicznych korzystałeś najczęściej podczas pandemii?","Czy obawiałeś się korzystać z hoteli, restauracji, cateringu?","Czy w ciągu 12 miesięcy częściej korzystałeś z aplikacji, portali internetowych w celu zamówienia usług hotelarsko - gastronomicznych (pyszne.pl, booking.com)?","W celach wypoczynkowych najchętniej wybrałabym/wybrałbym - w związku z COVID-19:","Czy wybierając hotel/restaurację kierowałeś się kryterium, które gwarantowało przestrzeganie wytycznych sanitarnych (np. Obiekt bezpieczny higienicznie)?","Czy zauważyłeś zmiany związane z jakością usług podczas pandemii?","Urlop, wolne weekendy w większości udało się spędzić:","Czy planując pobyt hotelowy musiałeś zrezygnować/zmienić datę pobytu?","Czy w przypadku rezygnacji udało się odzyskać pieniądze z zadatku/zaliczki?","Czy opcja bonu turystycznego zachęciła Cię do spędzenia urlopu w Polsce? ","Czy wprowadzenie dodatkowych obostrzeń (np. zamknięcie basenu, restauracji, siłowni) zniechęciłoby Cię do wyjazdu rekreacyjnego?","Czy strajki przedsiębiorców, akcje zachęcające do ratowania polskiej turystyki oraz informacje płynące z rynku o coraz słabszej sytuacji w finansowej wielu przedsiębiorstw zachęciły Cię do wspierania branży hotelarsko - gastronomicznej","Jak wspierałeś branże hotelarsko – gastronomiczną?","Czy w Twojej ocenie pomoc Rządu była wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19? "
"2021/04/12 6:46:12 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Agroturystyka","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 6:56:50 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Tak, pracuję w innej branży.","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 7:09:42 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Domki letniskowe","Nie","Zmniejszyła się","W domu","Nie dotyczy","Nie dotyczy","Tak","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 7:18:17 PM EET","Mężczyzna","25-40 lat","Wyższe","Osoba zarządzająca obiektem","Hotel","śląskie","Grupowych (MICE, wesela itp.)","Tak, od 51-75%","Druga","Tak","Do 10 osób","Nie.","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Dofinansowanie wynagrodzeń pracowników.;Umorzenie subwencji z Tarczy Finansowej z Polskie Funduszu Rozwoju.;Zwolnienie z płatności podatku od nieruchomości","Zamknięcie hoteli.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Próby obniżenia czynszów, podatków od nieruchomości.","Nie","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/12 7:20:24 PM EET","Mężczyzna","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Nie","Nie","Nie","Tak, przyjęto nowe osoby.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Nie","Nie","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 7:26:05 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Nie","Zamawianie posiłków Świątecznych.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 7:39:36 PM EET","Kobieta","16-24 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Dział rezerwacji grupowych","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 7:55:42 PM EET","Kobieta","powyżej 55 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Zwiększyła się","W domu","Tak","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 7:59:21 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos;Restauracja stacjonarnie","Tak, obawa o otrzymanie mandatu.","Tak","Apartamenty","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Nie wspierałem","Nie"
"2021/04/12 8:09:41 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 8:11:21 PM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Recepcja","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 8:25:32 PM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Agroturystyka","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 8:47:14 PM EET","Kobieta","16-24 lat","Średnie","Osoba zarządzająca obiektem","Lokal gastronomiczny","śląskie","Gości indywidualnych","Tak, od 51-75%","Pierwsza","Tak","Do 10 osób","Nie.","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Pożyczki długoterminowe z gwarancją.","Zamknięcie hoteli.;Zamknięcie stoków narciarskich.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Ograniczenie w przemieszczaniu się konsumentów.;Ciężko sytuacja materialna konsumentów.;Obostrzenia wojewódzkie/powiatowe.;Strach konsumentów przed zakażeniem się.","Sprzedaż na wynos, w postaci room service.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/12 8:59:42 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Apartamenty","Nie","Zwiększyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Nie wspierałem","Nie"
"2021/04/12 9:17:23 PM EET","Mężczyzna","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Tak"
"2021/04/12 9:27:03 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Hotel","Nie","Zmniejszyła się","Poza domem - wyjazdy za granicę","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 9:38:28 PM EET","Mężczyzna","41-55 lat","Zawodowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 9:49:27 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Nie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 9:55:04 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Nie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 9:55:27 PM EET","Kobieta","41-55 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Administracja","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Tak","Nie","Tak","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 10:46:23 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, nieznacznie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 10:48:06 PM EET","Mężczyzna","41-55 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Restauracja stacjonarnie","Nie","Tak","Hotel","Nie","Zmniejszyła się","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Nie wspierałem","Nie"
"2021/04/12 10:55:27 PM EET","Kobieta","16-24 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Spokojnej (wieś, małe miasteczko)","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Tak, pracuję w innej branży.","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Nie","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/13 1:30:52 AM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/13 6:50:53 AM EET","Mężczyzna","16-24 lat","Zawodowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Zwiększyła się","W domu","Tak","Tak","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/13 10:18:57 AM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Nie","Tak","Pensjonat - ośrodek prywatny","Tak","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/13 12:06:31 PM EET","Mężczyzna","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy","Nie","Tak","Hotel","Nie","Zwiększyła się","Poza domem - w Polsce","Nie","Nie dotyczy","Nie","Nie","Tak","Częstsze korzystanie z hoteli.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/13 12:37:23 PM EET","Kobieta","16-24 lat","Zawodowe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Nie","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/13 12:38:02 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Tak, obawa o zdrowie.","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Zamawianie posiłków Świątecznych.;Wpłacanie datków na zbiórki.","Nie"
"2021/04/13 1:46:54 PM EET","Kobieta","41-55 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Administracja","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Tak","Nie","Tak","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/13 6:40:38 PM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/13 8:12:38 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Nie","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Nie","Nie","Nie","Nie","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/13 9:48:22 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Nie","Agroturystyka","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/13 11:57:11 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Zmniejszyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Nie","Nie wspierałem","Nie"
"2021/04/14 10:25:29 AM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Recepcja","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/14 1:24:00 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Tak","Tak, pracuję w innej branży.","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/14 1:39:25 PM EET","Mężczyzna","16-24 lat","Zawodowe","Pracownik","","","","","","","","","","","","","","","","Techniczny","Spokojnej (wieś, małe miasteczko)","Umowa o pracę","Tak","Nie","Nie","Tak, przyjęto nowe osoby.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Nie","Nie","Nie","Tak","Nie","Nie","","","","","","","","","","","","","",""
"2021/04/14 1:50:16 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Apartamenty","Tak","Zwiększyła się","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Nie wspierałem","Nie"
"2021/04/14 2:05:39 PM EET","Mężczyzna","16-24 lat","Podstawowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Pensjonat - ośrodek prywatny","Tak","Zwiększyła się","W domu","Nie","Tak","Nie","Nie","Nie","Nie wspierałem","Nie"
"2021/04/14 2:07:59 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie","Tak","Tak","Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/14 3:52:25 PM EET","Mężczyzna","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Tak, obawa o otrzymanie mandatu.","Tak","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/14 4:05:08 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Tak","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Wpłacanie datków na zbiórki.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/14 4:44:48 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Nie","Nie wspierałem","Nie"
"2021/04/14 5:23:38 PM EET","Kobieta","41-55 lat","Podstawowe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Tak","Nie","Tak","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, znacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/15 9:30:08 AM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Nie","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/16 5:45:14 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Nie","Nie","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Tak","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/16 6:19:20 PM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Nie","Nie wspierałem","Nie"
"2021/04/16 8:50:59 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/23 11:32:44 AM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos","Nie","Tak","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/05/31 7:52:06 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/05/31 7:53:45 PM EET","Kobieta","16-24 lat","Podstawowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Domki letniskowe","Nie","Zmniejszyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/05/31 8:02:44 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Nie","Tak, nieznacznie","Tak","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/05/31 8:06:01 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Nie","Tak","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/05/31 8:11:26 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Domki letniskowe","Tak","Zwiększyła się","W domu","Nie","Nie dotyczy","Tak","Tak","Nie","Regularne zamawianie jedzenia na wynos.;Wpłacanie datków na zbiórki.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/05/31 8:26:25 PM EET","Kobieta","25-40 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Spokojnej (wieś, małe miasteczko)","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Nie","Nie","Nie","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/05/31 8:28:35 PM EET","Kobieta","16-24 lat","Zawodowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Pensjonat - ośrodek prywatny","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Tak","Tak","Tak","Nie wspierałem","Nie"
"2021/05/31 8:32:55 PM EET","Kobieta","41-55 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Nie","Nie","Tak","Nie","Tak","","","","","","","","","","","","","",""
